28,"In general, it may be said that he is a genius in music.","In a word, he is a man of genius.",It sounds as if genius compensates for lack of experience.
29,Our attempt has proved to be a failure.,Don't attempt two things at once.,Don't attempt two projects at a time.
30,It's a drama where you can enjoy the delicate workings of a woman's mind.,Sami knows everything about the inner workings of this organization.,Do you understand the inner workings of a car?
31,But the universe is infinite.,Our world is only one small part of the universe.,What is the origin of the universe?
32,Only by prohibiting nuclear weapons altogether can we stop the arms race.,Nuclear weapons are a threat to all humanity.,Nuclear weapons will bring about nothing but the ruin of mankind.
33,I cannot accept your gift.,You have a gift for music.,"Can you gift-wrap this, please?"
34,"You are really full of curiosity, aren't you?",The child was full of curiosity.,I opened the box out of curiosity.
35,Ms. Eichler had a notorious reputation for being austere to her students.,Frank had a reputation as a bad boy but he lived it down as he grew up.,In any industry a reputation can make or break people.
36,I think I have a theory about that.,What do you base your theory on?,I don't mean to challenge your theory.
37,We can see distant objects with a telescope.,Distant things look blurred.,We saw the gleam of a distant lighthouse.
38,He acted as a guide while I was staying in Kyoto.,Is there a tour guide available?,Our guide misinformed us about the location of the hotel.
39,Which is the platform for the London train?,There was only one other person on the platform.,There were a good many people on the platform.
40,I understand your position perfectly.,Your conduct is perfectly legal.,All that you say is perfectly correct.
41,It was just polite applause.,We gave the performer a round of applause.,The astronauts were greeted with spontaneous applause.
42,Their communication may be much more complex than we thought.,What seems simple to you seems complex to me.,How complex?
43,You should carry out his offer.,You should have refused his offer.,"While I see what you say, I can't accept your offer."
44,Few rich men own their own property.,The fire deprived us of our property.,You establish the property right by paying for it.
45,Forget it. It's not worth it.,Your idea is definitely worth thinking about.,That was well worth the trouble.
46,I don't like the new textbook for my English class; I prefer the original.,Set your translation against the original once again.,Bill has a lot of original ideas.
47,"Fanned by a strong wind, the fire spread in an instant.",The cancer has spread to her stomach.,Can we check the rapid spread of the 'flu?
48,Bill was singled out for a special award.,The architect boasted that he had received a prestigious award.,"In 1995, Andou received architecture's most prestigious award."
49,That kind of behaviour affects your honour.,Envy is the companion of honour.,He is what we call an honour student.
50,Scientists regard the discovery as important.,To whom do we owe the discovery of penicillin?,Chance led to the discovery of the new island.
51,,,
52,Ichiro is an outstanding baseball player.,I have an outstanding debt of 10 dollars.,I have a lot of work still outstanding.
53,We need some formal instruction in literature.,The professor is familiar with contemporary literature.,Mr Smith gave a lecture on literature.
54,I would like to give him a present for his birthday.,You shall have a nice present.,I have a nice present to give you.
55,We celebrated the centenary anniversary day.,We held a party in honor of the 20th anniversary of our company.,Our company had the fortieth anniversary of its foundation.
56,The ceremony began with his speech.,The commemorative ceremony ended with the closing address.,The opening ceremony took place on schedule.
57,Tomorrow we leave for Stockholm!,Stockholm is the capital of Sweden.,Yesterday I went to Stockholm.
58,Each student received his diploma in turn.,The principal presented each of the graduates with diploma.,Each boy has received his diploma.
59,The committee bestowed a medal on him.,Roy fastened the medal with a pin.,It was the first gold medal that she had won.
60,I saw some of the guests leave the banquet room.,The banquet was in full swing.,"And the banquet sponsor tasted the water, which had turned into wine."
61,The rockets were fired from a launching pad.,I like to take my pad and pencil and drive to the seashore to sketch.,A woman is taking down some notes on a pad of paper.
62,The substance is light enough to float on the water.,Hey! Throw that float to me.,Particles of dust float in the atmosphere.
63,There used to be a pond around here.,There used to be a big pond around here.,She would have fallen into the pond if he had not caught her by the arm.
64,,,
65,There is a flower shop near by.,I see a flower on the desk.,"Curiously, a flower bloomed on the withered up tree."
66,We have very big lotus leaves.,The lotus blossoms diffused an inexpressibly pleasant scent.,Can you sit in the Lotus position?
67,Supply is relative to demand.,Listen to the facts relative to the issue.,"An orphan at three, he was brought up by a distant relative."
68,Money is the root of all evil.,These words are derived from the same root.,Two is the fourth root of sixteen.
69,We must always try to serve others.,I will be glad if I can serve you in any way.,"In order to serve you better, your call may be monitored."
70,We decided to branch out into selling some foodstuffs.,The lamp was suspended from the branch of a tree.,Patty was so short that she couldn't get at the branch.
71,"When the thief heard the dog bark, he took to his heels.",Does it bark at her?,"As soon as the dog saw me, it began to bark."
72,The label is attached to the trunk.,Is your trunk locked?,There's a checkpoint at the border where they look in your trunk.
73,We'd like separate checks.,We cannot separate the sheep from the goats by appearance.,"Waiter, give us separate checks, please."
74,There was an enormous traffic jam in downtown Kyoto.,He claimed that the enormous property was at his disposal.,The damage from the typhoon was enormous.
75,Everybody will have to pitch in to save the environment.,It was pitch black outside.,He who touches pitch shall be defiled therewith.
76,The carp's longevity is unmolested by the turmoil of the millipede.,The secret of longevity is to choose your parents carefully.,This simple test can predict your longevity.
77,California and Nevada border on each other.,Prostitution is legal in most of Nevada.,Gambling is legal in Nevada.
78,Gardening has been popular for some years.,I am gardening these days just to kill time.,Father does gardening whenever he gets a chance.
79,You can decorate the cocktail with a cherry or a pineapple.,I like to decorate my apartment to suit my taste.,I like to decorate my room with flowers.
80,Is this jasmine tea?,I would drink some jasmine green tea.,They've planted jasmine and an olive.
81,Stop beating around the bush and give it to me straight!,Don't beat around the bush.,We found the stolen bag in this bush.
82,This vine winds around trees.,You don't get eggplants from a gourd vine.,There is a quite old vine at Maribor.
83,The frame itself is worth more than the picture.,Marina Giles left England with her husband in just this frame of mind.,"Bob mounted the portrait in a fancy frame, but it was upside down."
84,The apple tree has a beautiful blossom.,The apple-blossom was touched by the frost.,The apricot trees are in full blossom.
85,It's better to ignore his eccentricities.,"Count as one fractions of half a yen and over, but ignore those of less.","Were I you, I would ignore it."
86,"There is a law against dropping litter, but it's rarely enforced.",The public is requested not to litter in these woods.,Don't litter!
87,The seaside is an ideal spot for the children to play.,It's ideal weather for a picnic.,The new method was anything but ideal.
88,"The air is soft, the soil moist.",Winds from the sea are moist.,Bring me a moist towel.
89,"Speech is silver, but silence is golden.",The Golden Gate Bridge is made of iron.,How long is the Golden Gate Bridge?
90,Your lips are soft like the surface of a cactus.,Life is like licking honey off a cactus.,I bought a cactus.
91,There was nothing for it but to tolerate it.,We will not tolerate anyone who engages in terrorism.,How can you tolerate that rude fellow?
92,The thermometer stood at 37 degrees centigrade.,The temperature fell five degrees centigrade below zero yesterday.,Water freezes at 0 degrees Centigrade.
93,"If it were not for water, no creature could live.",A mouse is a timid creature.,What a lovely creature!
94,Your view is too optimistic.,His parents' view was that he was wasting his earnings on a silly girl.,Our school on the hill commands a full view of Mt. Fuji.
95,"When you take shelter, make sure you go under a big tree.",The homeless sought shelter from a shower.,The homeless sought shelter from the chilly shower.
96,The bear began tearing at the tent.,"Dark as it was, we managed to find our way back to our tent.",The leader should know where to set up the tent.
97,The strong will survive and the weak will die.,Who can survive after a nuclear war?,"Few people, if any, could survive a nuclear war."
98,One finding to emerge was that critical features differ between species.,Japan is still struggling to emerge from recession.,The secret will emerge in due course of time.
99,Get off me you little pest!,Don't be a pest!,Sami is a little pest.
100,"Come on, play with me, I'm so bored!",You look bored.,The audience appeared bored.
101,A rubber ball bounces because it is elastic.,This swimming suit is made of elastic material.,Knead the dough with both hands until it becomes elastic.
102,A delivery man is dropping off an arrangement of artificial flowers.,It's an artificial flower.,These are my grandmother's artificial teeth.
103,The police officer wore a bulletproof vest.,"Tom was wearing a bulletproof vest, so the bullet didn't kill him.",Bulletproof glass has already saved many lives.
104,"You need to reverse your vest, it's back to front.",In the winter I wear a coat on top of my vest.,I need to bring this suede vest to the dry-cleaner's.
105,You're lucky because he didn't bite you.,"Bite down tightly, please.",A cornered rat will bite a cat.
106,I see it rarely.,Our meeting rarely starts on time.,English people rarely talk to strangers in the train.
107,"If your child drinks poison, rush him to the hospital.",I got a rash from poison ivy.,He thought someone had put poison in his soup.
108,I'll treat you.,"Just as you treat me, so I will treat you.",Teachers should treat all their students impartially.
109,The room was in disorder.,The desk is in a state of total disorder.,There were no signs of disorder in the ship.
110,Why don't people hibernate?,Bears hibernate during the winter.,Why don't men hibernate?
111,An emergency may occur at any time.,Bright ideas never occur to me.,It may occur at any moment.
112,It rained continuously all day.,The cost of living is going up continuously.,"In swimming pools, water is continuously pumped through a filter."
113,You have to account for your absence.,How do you account for your absence?,Meg called you during your absence.
114,You have a regular pulse.,The doctor felt his pulse.,The doctor felt my pulse.
115,"At this rate, we're not likely to be done before the end of the week.",The income tax rate increases in proportion as your salary rises.,We have to call on him tomorrow at any rate.
116,It's an amphibian.,"A scaly is like a furry whose ""fursona"" is a reptile or amphibian.","A scalie is like a furry whose ""fursona"" is a reptile or amphibian."
117,I like pea pods in my stir fry.,"Stir the mixture until it foams, then set it aside.",The news is creating a stir.
118,I'll do my best not to disturb your studying.,It will disturb you in your studies.,"I'm sorry to disturb you, but there's a phone call for you."
119,The world is a den of crazies.,They're either in the shed or in the den.,One may only catch the tiger cub by entering the tiger's den.
120,A farm boy accidentally overturned his wagonload of wheat on the road.,He accidentally hit his thumb with the hammer.,"Oh no, I accidentally sawed off my finger! What should I do?"
121,There was a smash-up out on Route 66 today.,Tom raised the crowbar intending to smash his attacker's head.,"If you talk to me that way again, I'm going to smash your face in."
122,I miss you.,Did you miss me?,I'll miss your cooking.
123,"Because of fighting in the region, the oil supply was temporarily cut off.",The apple appeased my hunger temporarily.,"Due to the fog, traffic is temporarily suspended."
124,You are guilty of murder.,You make me feel so guilty.,"Insofar as we know, he is guilty."
125,His lie weighed on his conscience.,Do you have the conscience to do such a thing?,You should act according to your conscience.
126,Donkeys are tough animals.,"To begin with, that kind of work is too tough for me.",We had a tough job.
127,Sometimes he can be a strange guy.,This stone-dead guy had no friends.,"After a couple of drinks, the guy was feeling no pain."
128,She's a tease.,Don't tease me.,You're a tease.
129,Go and beat up that bully.,He used to bully his friends.,He just loves to bully people.
130,I am confused by your frenzied behaviour.,That kind of behaviour affects your honour.,Her behaviour towards me was a departure from the norm.
131,"Sooner or later, you will regret your idleness.",You will soon regret your rash conduct.,I regret that I told you.
132,Can you justify the use of violence?,Your words are as good as violence.,We should not resort to violence.
133,Where's the checkout counter?,When is checkout time?,Barcodes have made getting through the checkout much faster.
134,The meeting ended on an optimistic note.,Please note the change in the meeting agenda.,Please pass the note around.
135,We will purchase a new car next week.,I would like to purchase your latest mail order catalogue.,I would like to purchase some boots.
136,This action makes me grumble.,She began to grumble and then to weep.,His grandparents do nothing but grumble all day.
137,You had better not repeat such an error.,We must concede that we committed an error.,An error was made.
138,There was not a long queue at the bus stop.,"However, you have to queue...",Japanese and British people usually wait at a bus stop in a queue.
139,The counsellor said that Tom had a textbook case of OCD.,Fear is a bad counsellor.,Tom asked his guidance counsellor how to apply to college.
140,Reporters do not hesitate to intrude into people's privacy.,"By and large, reporters don't hesitate to intrude on one's privacy.",Never hesitate to tell the truth.
141,You have to judge the case without bias.,We will make an exception of your case.,What you said does not apply to this case.
142,It is no use your trying to persuade him.,It is difficult for us to persuade him.,"Granted that you are right, we still have to persuade him first."
143,"We are sorry, the person you are trying to contact is not available.",We were unable to make contact with them until it was too late.,"As soon as we find out anything, we will contact him."
144,"After all, their form of transport produces no pollution at all.",What form of transport will we take?,Commuters were deprived of their transport by the strike.
145,I didn't mean to hurt you.,My shoes hurt. I'm in agony.,These shoes are too tight. They hurt.
146,It is man's lot to suffer.,This city will suffer from an acute water shortage unless it rains soon.,People who regularly work in the open air do not suffer from sleeplessness.
147,There are many commercial firms in New York.,The TV commercial is drawing well.,I love that commercial.
148,Try to be a more rational consumer.,The consumer price index has been fluctuating wildly.,It is a literary work confronting the class problem of a consumer society.
149,Try to estimate how much you spent on books.,It will cost thirty thousand yen at the lowest estimate.,"Even with a generous estimate, there were at most only 2,000 people."
150,It is often pointed out that a vague smile is typical of the Japanese.,"But it's a typical savannah country, and we enjoy cooler temperatures.",Such words are so typical for him.
151,The son of a great actor became a good actor in his own right.,"At last, James Bond made it as an actor.",A boxer and an actor are coming toward us.
152,,,
153,He's a wonderful educator.,He was a great educator so his children really listened to him.,"Luck is our mother, mishap — our educator."
154,He has a very materialistic outlook on life.,Do you think I'm too materialistic?,He was such a materialistic person.
155,Survey the landscape below.,The results of the survey will be announced in due course.,This survey is too long to finish quickly.
156,It's not easy to part with one's favorite possessions.,All his possessions are contained in that box.,I need a tighter grip on my possessions.
157,The local school board would go to any length to ban that book.,There are movements to try to ban TV advertising.,The press ban on the case was removed yesterday.
158,I think this one is inferior to that in quality.,This novel of his is inferior to the previous one.,This machine is inferior to that one in durability.
159,Everybody took a hostile attitude toward illegal aliens.,I was fined 20 dollars for illegal parking.,The minister was in a fix over illegal dealings.
160,The salary of a teacher is lower than that of a lawyer.,The salary is fixed according to age and experience.,Can I get an advance on my salary?
161,"They rob, and furthermore cheat each other.","Furthermore, I still don't think this a huge cultural difference.","No, no, and furthermore, no!"
162,,,
163,The association is still a far cry from being well organized.,The association has excluded amateurs ever since its foundation.,I applied for membership in the association.
164,"And the banquet sponsor tasted the water, which had turned into wine.",All the expenses will fall on the sponsor.,My sponsor was willing to agree to my suggestion.
165,"In my understanding, Robinson treats this element as secondary.",Social relationships are secondary to this business.,Must the woman always play the secondary role?
166,It all depends how you handle it.,It's hard to handle crying babies.,I think I can handle it.
167,"Generally speaking, savings are increasing.",I'd been cheated out of my life savings!,Doctors' bills really cut into our savings.
168,Management of a company is different from ownership of a company.,A successful business is built on careful financial management.,The firm is under foreign management.
169,Our family budget is in the red.,The House cut the budget for foreign aid.,The committee approved the draft budget.
170,More and more married couples share household chores.,The household was already awake at 6 in the morning.,I'd like to speak to the lady of the household.
171,You must cut down on extra expenses in order to live within your means.,We must cut our expenses to save money.,Will this cover the holiday expenses?
172,Our advice is that the company invest in new equipment.,I feel secure when I invest in stocks but not bonds.,My recommendation is that you invest in government bonds.
173,I have no interest in putting my money into your dreams.,A bank lends us money at interest.,Banks charge higher interest on loans to risky customers.
174,"You play the guitar quite like a professional, don't you?",Some of the students like to play the guitar.,Bob plays not only the guitar but also the flute.
175,You seem an honest man.,You seem to be an honest man.,"If you are honest, I will hire you."
176,Be patient please. It takes time.,My driving instructor says I should be more patient.,You have to be patient.
177,Try to improve your English.,"Doctors can be wrong, and some patients can suddenly improve.",You can improve your English if you try.
178,We are firmly confident of victory.,I'm confident that there won't be a world war.,"She said, ""How confident he looks!"""
179,You must build up your courage.,I admire you for your courage.,I admire your courage.
180,Your friendship is most precious to me.,Suspicion is destructive of friendship.,A hedge between keeps friendship green.
181,Mary gazed at George in admiration.,The painting was the object of admiration.,I am filled with admiration for your bravery.
182,To be quiet in class is to respect other people's sleep.,I respect you for what you have done.,Discussion is based upon mutual respect.
183,You are now old enough to support yourself.,At your age you ought to support yourself.,"With reference to your request, I will support."
184,"If the world weren't in the shape it is now, I could trust anyone.",All you can do is trust one another.,"""Trust me,"" he said."
185,"The goal of education is not wealth or status, but personal development.",Do you know how to use a personal computer?,For personal reasons.
186,Air quality has deteriorated these past few years.,I'm very impressed with your quality control.,We are always aiming at improving the quality of service.
187,You have many caring friends.,Caring means being alive.,"After retirement, Teresa devoted herself to caring for orphans."
188,Can you describe the object?,Words cannot describe the beauty.,Describe that accident in detail.
189,No one noticed the bear's appearance.,You must not rely too much on appearance.,He deceives others with his appearance.
190,Go straight ahead until you reach the church.,You cannot make a crab walk straight.,Is the picture straight?
191,It's all dark outside.,All cats are grey in the dark.,She's got a fair complexion while her brother is very dark.
192,I can only wonder if this is the same for everyone else.,Maybe it will be exactly the same for him.,Are they all the same?
193,I think your basic theory is wrong.,"Air, like food, is a basic human need.","That game is easy, once you learn the basic rules."
194,The last person I told my idea to thought I was nuts.,I thought you liked to learn new things.,"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia."
195,You may act however you wish.,"However fast you may walk, you can't catch up with him.","Air travel is fast; sea travel is, however, restful."
196,He would be glad to hear that.,I'm glad to see you back.,I was glad to hear of your success.
197,Interest rates will rise due to monetary tightening.,Recently juvenile delinquency has been on the rise.,I waited for the curtain to rise with my heart beating in excitement.
198,This is never going to end.,That is somewhat explained at the end.,"At this rate, we're not likely to be done before the end of the week."
199,My heart was filled with happiness.,Just follow your heart.,All you have to do is to learn this sentence by heart.
200,"This does not mean only the study of language, history or geography.",I am familiar with the geography of this town.,I like geography and history.
201,Could we have a table in the corner?,The man in the corner addressed himself to the husband.,I'd like a corner room.
202,Any activity you need to accomplish will take more time than you have.,Activity keeps the mind from rusting.,The surface of the earth rose due to the volcanic activity.
203,You may as well withdraw from the club right away.,Which club do you belong to?,Kumi did not talk about her club.
204,"In the long run, you will have to practise more.","That's just standard practise, it's not like they're cutting corners.",Did you practise the harp this morning?
205,You are too clever not to solve the hard problem.,Could you solve the problem?,I'm amazed by the ease with which you solve the problem.
206,Why didn't modern technology develop in China?,Education aims to develop potential abilities.,Smokers are far more likely to develop lung cancer than non-smokers are.
207,She has improved her skill in cooking recently.,We cannot but wonder at his skill in skiing.,The new job challenged his skill.
208,The girls chased after their teen-age idol.,She knew the teen.,Tom is a teen idol.
209,"You must not read such a magazine, as it will do you harm.",Mick killed time by reading a magazine while waiting for his date.,"One magazine is for boys, and another for girls."
210,A teenager sometimes acts like a baby.,You could pass for a teenager if you wore a T-shirt.,The teenager insisted she was innocent of cheating.
211,"I bow to the boss in greeting, and he returns my bow with a nod.","Gentlemen, allow me to say a few words in greeting.",The word that is known to anyone is a greeting.
212,What grade are you in?,What grade is your sister in?,We are studying in order to pass the STEP 2nd grade test.
213,There will be an energy crisis in the near future.,Engineers are crazy about solar energy.,We must make the best use of solar energy.
214,Last year's pop hit was set off by a serial TV drama.,Bob is in the drama club.,"Peggy did not go to see the drama, and neither did I."
215,I sincerely hope that you will soon recover from your illness.,I sincerely hope you'll give me this second chance.,I sincerely regret having caused you such an inconvenience.
216,Do you keep a diary?,The best way to master English composition is to keep a diary in English.,I used to keep a diary in English when I was a student.
217,I am proud to be a part of this project.,I'm tied up with a project that is due Friday.,The company abandoned that project.
218,This nude poster appeals visually to the young.,He paused to look at the poster.,I bought a poster at the Arab World Institute in Paris and I had it framed.
219,Life begins when we realize who we really are.,The day will come when you will realize it.,It took him a moment to realize where he was after he came to.
220,"Luckily, he was on time for the train.",Luckily he had enough money to pay the bill.,"Luckily, he found a good seat."
221,I just don't know what to say.,I may give up soon and just nap instead.,"I'm not a real fish, I'm just a mere plushy."
222,It is best to review the material before the presentation.,Please give us a 20-30 min. time slot for our presentation.,You should have Mr Brown correct your speech before the presentation.
223,I'm not in the mood.,Music started playing in the restaurant so there was a real romantic mood.,The festive mood was slightly spoiled by terrorist bombs.
224,I have too many things on my mind these days.,What does it mean to have an educated mind in the 21st century?,You made me lose my mind.
225,Each of them carried their own pack.,"Believe it or not, it came in pack of gum.",Please pack the disks and hard copies into the briefcase.
226,It was a party to celebrate her birthday.,"Yes, you can celebrate anything you want.",May happiness and joy come to you as you celebrate this joyous day.
227,I'm certain of your success.,I'm sure your efforts will result in success.,I was glad to hear of your success.
228,Red Mulligan has announced that he'll fight Rocky Luciano next month.,They called the dog Rocky.,"It's a very rocky soil, isn't it?"
229,Neil Armstrong's famous footprint is still right where he left it.,Tom believes he has a very low carbon footprint.,This building has a low ecological footprint.
230,He's got a face like a month of wet Sundays.,You're wet through.,The paint on the seat on which you are sitting is still wet.
231,It's as deep as it is wide.,"Once outside, I gave a deep sigh of relief.",Still waters run deep.
232,Several children are playing on the sandy beach.,Spanish words sound sandy.,Hurricane Sandy is coming.
233,You can't kick me around any more.,Kick with your legs straight to go forward.,"Everything was allowed: You could kick, trip, hit, or bite your opponent."
234,This is the town I told you about.,"In a town you may pass unnoticed, whereas in a village it's impossible.",Don't you know that you are the laughingstock of the whole town?
235,The show will be a great feature of tonight's program.,Scrums are a feature of Rugby football.,The main feature of this scheme is still ambiguous.
236,The road tends to the south at the next village.,The South East region of England is densely populated.,I went to the South Pacific for a summer of romantic adventure.
237,You must clear the table.,Clear up your desk a bit.,It's clear that you're wrong.
238,The shouting echoes loudly.,"Crying loudly, the little girl hurried to the door.",I spoke loudly so that everyone could hear me.
239,We took cover from the thunder shower.,I heard it thunder in the distance.,Lightning precedes thunder.
240,I'm at the hospital. I got struck by lightning.,"Such an accurate, lightning-quick reply. What can I say?",Lightning precedes thunder.
241,It is still fresh in my memory.,Our new English teacher is fresh from college.,Flowers and trees need clean air and fresh water.
242,Maruyama Park is a place where a lot of people gather.,You must gather further information.,Gather ye rosebuds while ye may.
243,The countries concerned settled the dispute by peaceful means.,We must preserve our peaceful constitution.,Sometimes I feel like living a more peaceful life.
244,"Seen from the sky, the river looked like a huge snake.",The mere sight of a snake makes her sick.,You are a snake!
245,Many people drift through life without a purpose.,Your undaunted spirit will carry you through.,Didn't you see a dog pass through the yard?
246,I am proud to be a part of this project.,You do your part and I'll do the rest.,Are you planning to take part in the meeting?
247,Excuse me; allow me to point out three errors in the above article.,The length of the article is not to exceed 1000 words.,Have you read the article about Asia in Time?
248,For some reason I feel more alive at night.,You are too old not to see the reason.,Do you know the reason?
249,For some reason I feel more alive at night.,I am alive even though I am not giving any sign of life.,Elephants are the largest land animals alive today.
250,Tom's sandcastle was destroyed by the storm.,Let's build a sandcastle.,Tom built a sandcastle. Mary then trampled it.
251,You may as well follow his advice.,All you have to do is follow his advice.,All that you have to do is to follow his advice.
252,The only way on Earth to multiply happiness is to divide it.,Divide the cake among you three.,Oceans do not so much divide the world as unite it.
253,It is up to you to decide whether we will go there or not.,Life starts when you decide what you are expecting from it.,What has made you decide to work for our company?
254,We will crop the field with cotton this year.,The rice crop is already in.,Unusually low temperatures account for the poor rice crop this year.
255,"In culture, they are on the same plane as savages.",In a foreign country most of us go through culture shock.,We have to transmit our culture to the next generation.
256,Many local traditions have fallen into decay in recent years.,I'll give you a local anaesthetic.,The local school board would go to any length to ban that book.
257,We must have respect for tradition.,"In a past-oriented society, people dwell on the past and on tradition.",Fashion designers are breaking with tradition.
258,You continue making the same mistakes time after time.,"Once you begin, you must continue.",You should continue until you're satisfied.
259,The educational system is in transition.,Communism is the system practiced in the Soviet Union.,The engineer demonstrated how to operate the sophisticated system.
260,In which folder did you save the file?,Correct the mistake and return the file to Mr Luxemburg.,Send it to me as a compressed file.
261,It is amazing that you won the prize.,It is amazing; you should have won the prize.,How amazing that your mother speaks six languages!
262,"When I was your age, Pluto was a planet.",Nuclear war will bring life on this planet to an end.,Neptune is the eighth planet of the solar system.
263,The generous dentist contributed some two billion yen to charity.,The plan announced Tuesday calls for $54 billion in tax cuts.,The charity is named after a man who gave away some two billion yen.
264,Will this cover the holiday expenses?,"Cover your mouth when you cough, sneeze, or yawn.",Cover up the injured man with this blanket.
265,It is risky for you to go into that area alone.,There is a shopping area nearby.,"The rescue worker searched the area, looking for the child."
266,The temperature has been below freezing for several days.,I'm freezing.,It's freezing.
267,One third of the earth's surface is desert.,"Now there is nothing but desert, where there used to be a fertile plain.",Camels are often used to travel in the desert.
268,A metre is 100 centimetres.,The words above the door of the theatre were a metre high.,Will they break the ten-second mark in the hundred-metre race?
269,"I tried to reach you on the phone, but I was unable to get through.",Go straight ahead until you reach the church.,Put the ashtray within eyes reach.
270,Rye was called the grain of poverty.,The farmer longs for the day when the grain ripens.,As usual the peasants are busy scattering grain seeds.
271,"Life is not long, it is wide!",You're wide of the mark.,What you say is quite wide of the mark.
272,We are having a whale of a time.,Throw a sprat to catch a whale.,"The sperm whale can dive to a depth of 1,000 meters."
273,"Oh, there's a butterfly!",A bat flying in the sky looks like a butterfly.,A hummingbird is no larger than a butterfly.
274,Cows provide us with milk.,Cows provide us with good milk.,Provide starving people with food.
275,We want to explore an underwater oil field.,We will explore every planet that goes around the sun.,He hopes to explore the uninhabited island.
276,That will never disappear.,Even these words will someday disappear.,After 6 p.m. the employees began to disappear.
277,I knew it was plastic but it tasted like wood.,Even plastic surgery won't do anything for your ugliness.,"For safety purposes, remove the plastic casing before use."
278,Sunglasses protect our eyes from the sun.,The goggles protect your eyes from dust.,We should do more to protect the ozone layer from further damage.
279,"Immediately after it caught fire, the chemical factory blew up.",Chemical products account for approximately two-thirds of our exports.,Our company is planning to build a new chemical plant in Russia.
280,,,
281,My cheeks burn.,Burn with desire.,I got blisters from the burn.
282,The machine squealed for lack of oil.,We want to explore an underwater oil field.,We had to do without oil during the war.
283,The reporter covered the gas explosion in Shibuya.,Don't forget to turn off the gas before you leave the house.,I was almost home when the car ran out of gas.
284,Smoking may be harmful to his heart.,Smoking is harmful to health.,There is no denying the fact that smoking is harmful.
285,"First, I'm going to do an outline of my new website.",I really like the concept of this website.,The presentation of this website is sometimes confusing.
286,Most people only want to hear their own truth.,Do you have a room of your own?,You should attend to your own business.
287,Emperor Nero was an extremely evil tyrant.,The Emperor shall be the symbol of the State.,The Emperor is the symbol of the unity of the people.
288,Mr Hunt is principal of our school.,The police have started a nationwide hunt for the criminal.,I was on the hunt for lodgings.
289,One million people lost their lives in the war.,Are you for the war or against it?,Do you believe war will start?
290,Tom got lost in the sandstorm.,A sandstorm is coming in.,Make sure every orifice is covered before you enter the sandstorm.
291,"If there's no solution, then there's no problem.","I prefer to look for a solution to problems, not only to report them.",There isn't any solution.
292,Teachers should occasionally let their students blow off some steam.,Make a wish and blow out the candles.,"If you go underwater, hold your nose and blow to clear your ears."
293,You belong to the next generation.,Each generation would have to rediscover for itself the truths of the past.,We have to transmit our culture to the next generation.
294,Ziri's spacesuit protected him temporarily.,The snake-like creature entered Gunter’s spacesuit.,Damiano removed his spacesuit.
